UID          PID    PPID  C STIME TTY          TIME CMD
alexkou+     987     964  0 20:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
alexkou+    1001     957  0 20:56 ?        00:00:00 xfce4-session
alexkou+    1058       1  0 20:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
alexkou+    1060    1058  0 20:56 ?        00:00:00 /usr/bin/VBoxClient --clipboard
alexkou+    1073       1  0 20:56 ?        00:00:00 /usr/bin/VBoxClient --seamless
alexkou+    1075    1073  0 20:56 ?        00:00:02 /usr/bin/VBoxClient --seamless
alexkou+    1081       1  0 20:56 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
alexkou+    1083    1081  0 20:56 ?        00:00:12 /usr/bin/VBoxClient --draganddrop
alexkou+    1090       1  0 20:56 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-session
alexkou+    1091    1090  0 20:56 ?        00:00:01 /usr/bin/VBoxClient --vmsvga-session
alexkou+    1096    1001  0 20:56 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
alexkou+    1106     964  0 20:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
alexkou+    1113    1106  0 20:56 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
alexkou+    1124     964  0 20:56 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
alexkou+    1137     964  0 20:56 ?        00:00:00 /usr/bin/gpg-agent --supervised
alexkou+    1139    1001  0 20:56 ?        00:00:07 xfwm4
alexkou+    1143     964  0 20:56 ?        00:00:00 /usr/libexec/gvfsd
alexkou+    1149     964  0 20:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
alexkou+    1164    1001  0 20:56 ?        00:00:01 xfsettingsd
root        1168       1  0 20:56 ?        00:00:00 /usr/libexec/upowerd
alexkou+    1174    1001  0 20:56 ?        00:00:02 xfce4-panel
alexkou+    1179    1001  0 20:56 ?        00:00:00 Thunar --daemon
alexkou+    1185    1001  1 20:56 ?        00:00:18 xfdesktop
alexkou+    1189    1174  0 20:56 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165831 whiskermenu Whisker Menu Show a menu to easily access installed applications
alexkou+    1193    1174  0 20:56 ?        00:00:06 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 25165836 cpugraph CPU Graph Graphical representation of the CPU load
alexkou+    1194    1174  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 25165837 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
